Iteration 1, Best Distance: 17.367457685339065
Iteration 2, Best Distance: 17.367457685339062
Iteration 3, Best Distance: 17.367457685339062
Iteration 4, Best Distance: 17.367457685339062
Iteration 5, Best Distance: 17.367457685339062
Iteration 6, Best Distance: 17.367457685339062
Iteration 7, Best Distance: 17.367457685339062
Iteration 8, Best Distance: 17.367457685339062
Iteration 9, Best Distance: 17.367457685339062
Iteration 10, Best Distance: 17.367457685339062
Iteration 11, Best Distance: 17.367457685339062
Iteration 12, Best Distance: 17.367457685339062
Iteration 13, Best Distance: 17.367457685339062
Iteration 14, Best Distance: 17.367457685339062
Iteration 15, Best Distance: 17.367457685339062
Iteration 16, Best Distance: 17.367457685339062
Iteration 17, Best Distance: 17.367457685339062
Iteration 18, Best Distance: 17.367457685339062
Iteration 19, Best Distance: 17.367457685339062
Iteration 20, Best Distance: 17.367457685339062
Iteration 21, Best Distance: 17.367457685339062
Iteration 22, Best Distance: 17.367457685339062
Iteration 23, Best Distance: 17.367457685339062
Iteration 24, Best Distance: 17.367457685339062
Iteration 25, Best Distance: 17.367457685339062
Iteration 26, Best Distance: 17.367457685339062
Iteration 27, Best Distance: 17.367457685339062
Iteration 28, Best Distance: 17.367457685339062
Iteration 29, Best Distance: 17.367457685339062
Iteration 30, Best Distance: 17.367457685339062
Iteration 31, Best Distance: 17.367457685339062
Iteration 32, Best Distance: 17.367457685339062
Iteration 33, Best Distance: 17.367457685339062
Iteration 34, Best Distance: 17.367457685339062
Iteration 35, Best Distance: 17.367457685339062
Iteration 36, Best Distance: 17.367457685339062
Iteration 37, Best Distance: 17.367457685339062
Iteration 38, Best Distance: 17.367457685339062
Iteration 39, Best Distance: 17.367457685339062
Iteration 40, Best Distance: 17.367457685339062
Iteration 41, Best Distance: 17.367457685339062
Iteration 42, Best Distance: 17.367457685339062
Iteration 43, Best Distance: 17.367457685339062
Iteration 44, Best Distance: 17.367457685339062
Iteration 45, Best Distance: 17.367457685339062
Iteration 46, Best Distance: 17.367457685339062
Iteration 47, Best Distance: 17.367457685339062
Iteration 48, Best Distance: 17.367457685339062
Iteration 49, Best Distance: 17.367457685339062
Iteration 50, Best Distance: 17.367457685339062
Iteration 51, Best Distance: 17.367457685339062
Iteration 52, Best Distance: 17.367457685339062
Iteration 53, Best Distance: 17.367457685339062
Iteration 54, Best Distance: 17.367457685339062
Iteration 55, Best Distance: 17.367457685339062
Iteration 56, Best Distance: 17.367457685339062
Iteration 57, Best Distance: 17.367457685339062
Iteration 58, Best Distance: 17.367457685339062
Iteration 59, Best Distance: 17.367457685339062
Iteration 60, Best Distance: 17.367457685339062
Iteration 61, Best Distance: 17.367457685339062
Iteration 62, Best Distance: 17.367457685339062
Iteration 63, Best Distance: 17.367457685339062
Iteration 64, Best Distance: 17.367457685339062
Iteration 65, Best Distance: 17.367457685339062
Iteration 66, Best Distance: 17.367457685339062
Iteration 67, Best Distance: 17.367457685339062
Iteration 68, Best Distance: 17.367457685339062
Iteration 69, Best Distance: 17.367457685339062
Iteration 70, Best Distance: 17.367457685339062
Iteration 71, Best Distance: 17.367457685339062
Iteration 72, Best Distance: 17.367457685339062
Iteration 73, Best Distance: 17.367457685339062
Iteration 74, Best Distance: 17.367457685339062
Iteration 75, Best Distance: 17.367457685339062
Iteration 76, Best Distance: 17.367457685339062
Iteration 77, Best Distance: 17.367457685339062
Iteration 78, Best Distance: 17.367457685339062
Iteration 79, Best Distance: 17.367457685339062
Iteration 80, Best Distance: 17.367457685339062
Iteration 81, Best Distance: 17.367457685339062
Iteration 82, Best Distance: 17.367457685339062
Iteration 83, Best Distance: 17.367457685339062
Iteration 84, Best Distance: 17.367457685339062
Iteration 85, Best Distance: 17.367457685339062
Iteration 86, Best Distance: 17.367457685339062
Iteration 87, Best Distance: 17.367457685339062
Iteration 88, Best Distance: 17.367457685339062
Iteration 89, Best Distance: 17.367457685339062
Iteration 90, Best Distance: 17.367457685339062
Iteration 91, Best Distance: 17.367457685339062
Iteration 92, Best Distance: 17.367457685339062
Iteration 93, Best Distance: 17.367457685339062
Iteration 94, Best Distance: 17.367457685339062
Iteration 95, Best Distance: 17.367457685339062
Iteration 96, Best Distance: 17.367457685339062
Iteration 97, Best Distance: 17.367457685339062
Iteration 98, Best Distance: 17.367457685339062
Iteration 99, Best Distance: 17.367457685339062
Iteration 100, Best Distance: 17.367457685339062
Best route found: [0, np.int64(3), np.int64(1), np.int64(2), np.int64(4), np.int64(5), 0]
Best distance: 17.367457685339062
